name,high,mean,low
(1) Rhuddanian,0.443632,0.4082435,0.3728551
(2) Ashgill,0.4452538,0.402761,0.3602681
(3) Hirnantian,0.4563897,0.3461825,0.2359753
(4) Katian,0.4402003,0.3840339,0.3278674
