occurrence_no,record_type,reid_no,flags,collection_no,permissions,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,abund_value,abund_unit,collection_name,collection_subset,collection_aka
4116,occ,,,358,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Richmondian,,449.5,443.7,61178,,,"Isotelus-Diplograptus community, Maquoketa Fm.",,
42791,occ,,,3345,,Distomodus kentuckyensis,species,344776,,Distomodus kentuckyensis,species,344776,Rhuddanian,,443.4,440.8,185,rare,category,"Well FT 3, Unit 6",,
127512,occ,,,10442,,Erismodus typus,species,392031,,Erismodus typus,species,392031,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
127515,occ,,,10442,,Microcoelodus unicornis,species,392032,subjective synonym of,Erismodus asymmetricus,species,392024,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
127518,occ,,,10442,,Pteroconus gracilis,species,392018,recombined as,Erismodus gracilis,species,392018,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
128909,occ,,,10641,,Dapsilodus obliquicostatus,species,344768,,Dapsilodus obliquicostatus,species,344767,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128910,occ,,F,10641,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128921,occ,,,10641,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128922,occ,,,10641,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128928,occ,,,10641,,Scabbardella altipes,species,351268,,Scabbardella altipes,species,346744,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128931,occ,,,10641,,Panderodus feulneri,species,348577,,Panderodus feulneri,species,348576,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
129325,occ,,,10667,,Scabbardella altipes,species,351268,,Scabbardella altipes,species,346744,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129326,occ,,,10667,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129328,occ,,,10667,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129331,occ,,,10667,,Ozarkodina hassi,species,324235,,Ozarkodina hassi,species,324236,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129333,occ,,,10667,,Hamarodus europaeus,species,351265,,Hamarodus europaeus,species,351264,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129336,occ,,,10667,,Panderodus unicostatus,species,344726,,Panderodus unicostatus,species,344726,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129339,occ,,,10667,,Walliserodus curvatus,species,344905,,Walliserodus curvatus,species,344903,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129340,occ,,,10667,,Decoriconus fragilis,species,344772,,Decoriconus fragilis,species,344771,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129343,occ,,F,10667,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129346,occ,,F,10667,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129348,occ,,,10668,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129352,occ,,,10668,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129354,occ,,,10668,,Scabbardella altipes,species,351268,,Scabbardella altipes,species,346744,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129355,occ,,,10668,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129356,occ,,,10668,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129359,occ,,F,10668,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
251638,occ,,,24505,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,Llandovery,449.5,433.4,6890,,,"Gaspé Peninsula, Percé, White Head Formation Unit 4",,
251639,occ,,,24505,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Ashgill,Llandovery,449.5,433.4,6890,,,"Gaspé Peninsula, Percé, White Head Formation Unit 4",,
251652,occ,,,24508,,Distomodus kentuckyensis,species,344776,,Distomodus kentuckyensis,species,344776,Ashgill,Llandovery,449.5,433.4,6890,,,"Gaspé Peninsula, Percé, White Head Formation Unit 6",,
252152,occ,,,24566,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Vaureal Formation",,
252153,occ,,,24566,,Aphelognathus pyramidalis,species,348608,,Aphelognathus pyramidalis,species,348600,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Vaureal Formation",,
252157,occ,,,24566,,Plegagnathus dartoni,species,348612,,Plegagnathus dartoni,species,348612,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Vaureal Formation",,
252230,occ,,,24569,,Aphelognathus pyramidalis,species,348608,,Aphelognathus pyramidalis,species,348600,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252231,occ,,,24569,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252236,occ,,,24569,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252242,occ,,,24569,,Panderodus feulneri,species,348577,,Panderodus feulneri,species,348576,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252246,occ,,,24569,,Panderodus panderi,species,344864,,Panderodus panderi,species,344863,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252251,occ,,,24569,,Plegagnathus dartoni,species,348612,,Plegagnathus dartoni,species,348612,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252252,occ,,,24569,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252253,occ,,F,24569,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252255,occ,,F,24569,,Rhipidognathus symmetricus,species,348618,,Rhipidognathus symmetricus,species,348618,Richmondian,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 1 Conodonts",,
252260,occ,,,24571,,Aphelognathus pyramidalis,species,348608,,Aphelognathus pyramidalis,species,348600,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252261,occ,,,24571,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252265,occ,,,24571,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252271,occ,,,24571,,Panderodus feulneri,species,348577,,Panderodus feulneri,species,348576,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252273,occ,,,24571,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252275,occ,,,24571,,Panderodus panderi,species,344864,,Panderodus panderi,species,344863,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252276,occ,,,24571,,Panderodus serratus,species,344867,,Panderodus serratus,species,344867,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252281,occ,,,24571,,Plegagnathus dartoni,species,348612,,Plegagnathus dartoni,species,348612,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252283,occ,,,24571,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252284,occ,,F,24571,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252285,occ,,F,24571,,Rhipidognathus symmetricus,species,348618,,Rhipidognathus symmetricus,species,348618,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 2 Conodonts",,
252290,occ,,,24572,,Aphelognathus pyramidalis,species,348608,,Aphelognathus pyramidalis,species,348600,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252291,occ,,,24572,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252294,occ,,,24572,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252300,occ,,,24572,,Panderodus feulneri,species,348577,,Panderodus feulneri,species,348576,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252302,occ,,,24572,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252304,occ,,,24572,,Panderodus panderi,species,344864,,Panderodus panderi,species,344863,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252305,occ,,,24572,,Panderodus serratus,species,344867,,Panderodus serratus,species,344867,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252309,occ,,,24572,,Plegagnathus dartoni,species,348612,,Plegagnathus dartoni,species,348612,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252310,occ,,,24572,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 3 Conodonts",,
252314,occ,,,24573,,Aphelognathus pyramidalis,species,348608,,Aphelognathus pyramidalis,species,348600,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 4 Conodonts",,
252323,occ,,,24573,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 4 Conodonts",,
252325,occ,,,24573,,Panderodus panderi,species,344864,,Panderodus panderi,species,344863,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 4 Conodonts",,
252326,occ,,,24573,,Panderodus serratus,species,344867,,Panderodus serratus,species,344867,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 4 Conodonts",,
252329,occ,,,24573,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 4 Conodonts",,
252334,occ,,,24574,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 5 Conodonts",,
252343,occ,,,24574,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 5 Conodonts",,
252345,occ,,,24574,,Panderodus panderi,species,344864,,Panderodus panderi,species,344863,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 5 Conodonts",,
252346,occ,,,24574,,Panderodus serratus,species,344867,,Panderodus serratus,species,344867,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 5 Conodonts",,
252349,occ,,,24574,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 5 Conodonts",,
252358,occ,,,24575,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252359,occ,,,24575,,Panderodus serratus,species,344867,,Panderodus serratus,species,344867,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252360,occ,,,24575,,Pseudooneotodus beckmanni,species,344869,,Pseudooneotodus beckmanni,species,344868,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252365,occ,,,24575,,Drepanodus suberectus,species,346756,recombined as,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252366,occ,,,24575,,Icriodella deflecta,species,149849,,Icriodella deflecta,species,149849,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252370,occ,,,24575,,Ozarkodina hassi,species,324235,,Ozarkodina hassi,species,324236,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252371,occ,,,24575,,Ozarkodina oldhamensis,species,393016,,Ozarkodina oldhamensis,species,393015,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
252374,occ,,,24575,,Spathognathodus manitoulinensis,species,348569,recombined as,Kockelella manitoulinensis,species,348569,Ashgill,,449.5,443.7,6910,,,"Anticosti Island, Ellis Bay Formation Member 6 Conodonts",,
256020,occ,,F,24841,,Rhipidognathus symmetricus,species,348618,,Rhipidognathus symmetricus,species,348618,Ashgillian,,449.5,443.7,6965,3,%-elements,"Gaspé Peninsula, Matapedia Group, Restigouche River",,
256033,occ,,,24843,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, East of Matapedia",,
256057,occ,,,24848,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, Western Exposure",,
256061,occ,,,24848,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, Western Exposure",,
256069,occ,,,24843,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, East of Matapedia",,
256096,occ,,,24841,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, Restigouche River",,
256098,occ,,,24841,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgillian,,449.5,443.7,6965,,,"Gaspé Peninsula, Matapedia Group, Restigouche River",,
256173,occ,,,24858,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6965,,,"Gaspé Peninsula, Murphy Creek, White Head Formation Unit 1",,
256174,occ,,,24858,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6965,,,"Gaspé Peninsula, Murphy Creek, White Head Formation Unit 1",,
256189,occ,,,24861,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6965,,,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 2",,
256192,occ,,,24861,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6965,,,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 2",,
256208,occ,,,24863,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Ashgill,Cautleyan,449.5,445.6,6965,,,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 3",,
256211,occ,,,24863,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,Cautleyan,449.5,445.6,6965,,,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 3",,
256214,occ,,,24863,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,Cautleyan,449.5,445.6,6965,,,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 3",,
257764,occ,,,24972,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6965,5,%-individuals,"Gaspé Peninsula, Flynn Road, White Head Formation Unit 4",,
257777,occ,,,24975,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Ashgill,,449.5,443.7,6965,27,elements,"Gaspé Peninsula, Amphitheatre, White Head Formation Unit 4",,
257779,occ,,,24975,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Ashgill,,449.5,443.7,6965,5,elements,"Gaspé Peninsula, Amphitheatre, White Head Formation Unit 4",,
257782,occ,,,24975,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,6965,53,elements,"Gaspé Peninsula, Amphitheatre, White Head Formation Unit 4",,
257785,occ,,,24975,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6965,179,elements,"Gaspé Peninsula, Amphitheatre, White Head Formation Unit 4",,
257790,occ,,F,24975,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Ashgill,,449.5,443.7,6965,1,elements,"Gaspé Peninsula, Amphitheatre, White Head Formation Unit 4",,
258470,occ,,,25037,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,6965,,,"Gaspé Peninsula, Mont Joli, White Head Formation",,
272297,occ,,,26090,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Richmondian,,449.5,443.7,7224,151,elements,GSC Loc. O-102110. Southampton Island,,
272298,occ,,,26090,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Richmondian,,449.5,443.7,7224,26,elements,GSC Loc. O-102110. Southampton Island,,
272299,occ,,F,26090,,Coelocerodontus trigonius,species,424018,,Coelocerodontus trigonius,species,424018,Richmondian,,449.5,443.7,7224,2,elements,GSC Loc. O-102110. Southampton Island,,
272300,occ,,,26090,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,7224,55,elements,GSC Loc. O-102110. Southampton Island,,
272307,occ,,F,26090,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Richmondian,,449.5,443.7,7224,1,elements,GSC Loc. O-102110. Southampton Island,,
272309,occ,,F,26090,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Richmondian,,449.5,443.7,7224,4,elements,GSC Loc. O-102110. Southampton Island,,
272314,occ,,F,26091,,Rhipidognathus symmetricus,species,348618,,Rhipidognathus symmetricus,species,348618,Richmondian,,449.5,443.7,7224,4,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103909",,
272332,occ,,,26093,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Richmondian,,449.5,443.7,7224,5,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103912",,
272333,occ,,,26093,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,7224,1,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103912",,
272337,occ,,,26094,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Richmondian,,449.5,443.7,7224,2,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103109",,
272338,occ,,,26094,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,7224,5,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103109",,
272342,occ,,,26095,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Richmondian,,449.5,443.7,7224,64,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103913",,
272343,occ,,,26095,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,7224,11,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103913",,
272350,occ,,,26096,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Richmondian,,449.5,443.7,7224,4,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103914",,
272352,occ,,,26096,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Richmondian,,449.5,443.7,7224,5,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103914",,
272358,occ,,F,26096,,Rhipidognathus symmetricus,species,348618,,Rhipidognathus symmetricus,species,348618,Richmondian,,449.5,443.7,7224,3,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103914",,
272360,occ,,,26097,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Richmondian,,449.5,443.7,7224,60,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272362,occ,,,26097,,Besselodus borealis,species,345115,,Besselodus borealis,species,345115,Richmondian,,449.5,443.7,7224,3,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272363,occ,,F,26097,,Coelocerodontus trigonius,species,424018,,Coelocerodontus trigonius,species,424018,Richmondian,,449.5,443.7,7224,10,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272364,occ,,,26097,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmondian,,449.5,443.7,7224,111,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272367,occ,,,26097,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Richmondian,,449.5,443.7,7224,8,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272371,occ,,,26097,,Periodon grandis,species,351271,,Periodon grandis,species,351270,Richmondian,,449.5,443.7,7224,2,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272374,occ,,F,26097,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Richmondian,,449.5,443.7,7224,1,elements,"Southampton Island, Sixteen Mile Brook, GSC Loc. O-103915",,
272407,occ,,,26101,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Shermanian,Gamachian,460.9,443.7,7224,6,elements,"Akpatok Island, Section 5, GSC Loc. C-147499",,
272408,occ,,F,26101,,Coelocerodontus trigonius,species,424018,,Coelocerodontus trigonius,species,424018,Shermanian,Gamachian,460.9,443.7,7224,9,elements,"Akpatok Island, Section 5, GSC Loc. C-147499",,
272409,occ,,,26101,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Shermanian,Gamachian,460.9,443.7,7224,27,elements,"Akpatok Island, Section 5, GSC Loc. C-147499",,
272410,occ,,,26101,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Shermanian,Gamachian,460.9,443.7,7224,163,elements,"Akpatok Island, Section 5, GSC Loc. C-147499",,
272415,occ,,F,26101,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Shermanian,Gamachian,460.9,443.7,7224,2,elements,"Akpatok Island, Section 5, GSC Loc. C-147499",,
272416,occ,,,26102,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Shermanian,Gamachian,460.9,443.7,7224,9,elements,"Akpatok Island, Section 5, GSC Loc. C-147500",,
272417,occ,,F,26102,,Coelocerodontus trigonius,species,424018,,Coelocerodontus trigonius,species,424018,Shermanian,Gamachian,460.9,443.7,7224,3,elements,"Akpatok Island, Section 5, GSC Loc. C-147500",,
272418,occ,,,26102,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Shermanian,Gamachian,460.9,443.7,7224,11,elements,"Akpatok Island, Section 5, GSC Loc. C-147500",,
272419,occ,,,26102,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Shermanian,Gamachian,460.9,443.7,7224,82,elements,"Akpatok Island, Section 5, GSC Loc. C-147500",,
273974,occ,,,26238,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Onnian,,452,449.5,7263,,,"Top of Benjamin Limestone, Westfield Syncline, Florentine Valley, Tasmania",,
283815,occ,,,26994,,Promissum pulchrum,species,324252,,Promissum pulchrum,species,324252,Hirnantian,,445.2,443.4,7463,,,"Keurbos Farm, southeast of Clanwilliam",,
489746,occ,,,49341,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Richmond,,449.5,445.6,13175,,,"USNM 32023. Lone Mountain Area, McGrath C-4 Quadrangle",,"Center of SW¼ NE¼ of sec. 9 T28N R30W, McGrath C-4 Quadrangle, west-central Alaksa"
754399,occ,,,80782,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Ashgill,,449.5,443.7,27154,,,"Gotland, carbonate mounds",,Reef 1739
906303,occ,,,100359,,Drepanodus suberectus,species,346756,recombined as,Drepanoistodus suberectus,species,346755,Ashgill,,449.5,443.7,34631,,,Don River USGS D2036 CO,,
963011,occ,,,113018,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Ashgillian,,449.5,443.7,36729,,,USGS 10632-CO Shublik Mountains section 87NA-1,,
1124498,occ,,,142450,,Belodina compressa,species,337063,,Belodina compressa,species,337062,Eastonian,,456.1,449.5,46244,,,"Omulev Mnt. area, Kanyon Fm., Mirny Creek section, Unit B8",,
