name,high,mean,low
(1) Rhuddanian,0.8363895,0.7678367,0.699284
(2) Ashgill,0.7907362,0.7108304,0.6309246
(3) Hirnantian,0.8096587,0.6064302,0.4032017
(4) Katian,0.7993264,0.6900701,0.5808138
